feature,coefficient
episodes,0.6976098424637829
as good,0.6972980622035613
edie,0.696559030848977
in,0.6959149783156727
age,0.6950703107921895
an amazing,0.6922292625439099
roles,0.6920532646380317
castle,0.691389228473786
game,0.6906897433724086
to come,0.6869497234323405
live,0.6867762720055461
certainly,0.6866500725114558
these two,0.6861877605345549
can be,0.6836744009498269
season,0.6827941210265105
is good,0.6827266916354603
performance as,0.6812527358487784
viewing,0.6785466293298376
have to,0.6785327583584312
as much,0.6772853771021039
plays,0.6770262159229798
interested,0.6769683587499368
award,0.6767966931709072
flawless,0.6755311578634395
thought,0.6752518420457333
it to,0.6742303416565256
welles,0.6729701045911933
entertaining and,0.6715464351997316
to all,0.6714316662533791
very entertaining,0.6707716463879101
things,0.6707374388410855
great movie,0.6706673430728995
comments,0.6688830738472265
humor,0.6667216302617109
brothers,0.6664689133496112
remarkable,0.6663161875885306
impact,0.6643328668669127
right,0.6637281602163445
experience,0.6631814776769493
in way,0.6613321574972457
films of,0.6609213305140407
spock,0.6608575571174774
ned,0.6599263021388297
and is,0.6582102218817131
master,0.6577524606043805
come,0.6577311298940728
really like,0.6525868989823616
chinese,0.6521779625943279
dream,0.6517832045124561
carrey,0.6507431874599316
pretty good,0.648025917028142
up to,0.6442765108456685
show,0.6442332831957401
personally,0.643165158280331
provides,0.641933336543212
quite,0.6414537028299746
than most,0.6401974464922136
barbara,0.6375300476641624
tragic,0.6371501822367364
dvd,0.6363089414099729
11,0.6361512261604922
they don,0.6358827723313943
very enjoyable,0.6357495712974708
winning,0.6351250359066526
portrayal of,0.635060800954391
kolchak,0.6344761014345581
happy,0.633860015398763
pleasantly surprised,0.6338081153204888
so much,0.6334548539716619
is amazing,0.6333200816162317
worlds,0.6332606636271698
marie,0.6310811289691683
such as,0.6307756400160861
extraordinary,0.6307733965704612
is movie,0.6278859618656495
should see,0.6276711367587718
of our,0.627167884069578
true to,0.6267915415846483
what they,0.6263018389769603
together,0.6247780522572096
film festival,0.6238620636717924
best film,0.6237184640666239
matthau,0.6232552923306524
time it,0.6230072130654879
court,0.6220699228702148
her,0.6218172749154205
change,0.6211972635961949
spectacular,0.6211661234112272
it again,0.6209468344178335
deeply,0.6192836463636636
as he,0.6188613608632223
khouri,0.6184101183565712
friends,0.6178152310132128
their,0.6167901288882491
elvira,0.6167720259726986
apartment,0.6166828949232925
danny,0.6164848350921373
supporting,0.616403306119348
good and,0.616341932337887
jackson,0.6152634289978004
story of,0.6150963446010267
breathtaking,0.614894501682238
compelling,0.6145862377888324
best movie,0.6139751903492744
surprisingly good,0.6133703605804524
adventure,0.6132976539140145
mclaglen,0.6131377091477561
see for,0.6127500675947547
interested in,0.6124324420226271
city,0.6118291982290064
has,0.6116511402125212
great film,0.6116026545233201
type of,0.6109787659423773
haunting,0.6108271500961396
magnificent,0.6105972282198253
childhood,0.6084310955614988
andrew,0.6083740861002185
film of,0.6083736286235978
cinema,0.6078159733521362
deeper,0.6077972592091471
attention,0.6068042638858061
fido,0.6065565436662029
it great,0.6059785896493717
ideal,0.6052189409981428
until,0.6050506369087248
best of,0.6049556873616135
copy of,0.6036673311843199
society,0.6033740409794696
