feature,coefficient
romantic comedies,0.38946974311204413
pace,0.3892866604712848
sequences,0.38890007167381047
manages,0.38865647333108533
beauty and,0.3884750233730019
don want,0.38842784021884424
shows how,0.3883452508964435
really makes,0.38819854074920973
shown in,0.38813910177980165
this series,0.38798946756551694
families,0.38789592982824433
ben,0.3878266227467796
received,0.38751832460683405
media,0.38741275589508123
that his,0.38734065784907623
nominated,0.38712738595959245
cinema in,0.3869880037089265
pulls,0.38695961489595015
respect,0.3869273785871426
by any,0.38659478624949867
cerebral,0.386457519193646
bit too,0.38623126223911675
little film,0.3860551736242319
bill and,0.3859328496241179
tragedy,0.38575157905472807
satire,0.38570270285028824
view,0.38560148666515076
dixon,0.3851981085466212
everyone should,0.3848886484452771
from his,0.3847743055967859
of fun,0.38463771891307885
thumbs up,0.3844136249268975
spot,0.3842979421357726
first episode,0.3839526435245662
kennedy,0.3837333178532152
of life,0.3835738076445674
disappoint,0.3834324330603031
ladies,0.3830191319695001
course,0.382950868182298
my daughter,0.3829286613031905
the atmosphere,0.3828652723686924
her own,0.3826088540053531
how good,0.38233577259472556
remember,0.3822713956027954
are no,0.3822104433881064
makes this,0.38209414685814663
with his,0.38200485463295214
zero day,0.3819387808828465
not just,0.3819353091720403
to his,0.38193411116061193
range of,0.3817391303831428
their characters,0.38086533168374964
don like,0.38082446839804396
was born,0.3806778232198997
light,0.3803427322205469
it will,0.3803342221431995
